epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,67.837,1.22072,1.45435,0.00485,0.66725,0.64026,0.68413,0.46429,1.22106,1.1344,0.00633,0.000296988,0.000296988,0.000296988
64,68.9084,1.23994,1.50136,0.00508,0.6573,0.62667,0.68516,0.46707,1.19255,1.13139,0.00617,0.000289375,0.000289375,0.000289375
65,69.9991,1.24443,1.41739,0.00472,0.67497,0.61026,0.68259,0.46376,1.20034,1.12143,0.00619,0.000281762,0.000281762,0.000281762
66,71.0918,1.24776,1.40237,0.00475,0.7493,0.56077,0.68364,0.46391,1.19932,1.11307,0.00618,0.000274148,0.000274148,0.000274148
67,72.173,1.27258,1.46784,0.00518,0.64948,0.61798,0.68483,0.4625,1.19498,1.09573,0.0061,0.000266535,0.000266535,0.000266535
68,73.3334,1.23689,1.41826,0.00495,0.68055,0.6183,0.69221,0.46801,1.2172,1.0818,0.00611,0.000258922,0.000258922,0.000258922
69,74.3976,1.21224,1.41788,0.00512,0.66381,0.65553,0.70024,0.47343,1.20799,1.07487,0.00615,0.000251309,0.000251309,0.000251309
70,75.4673,1.22881,1.38032,0.00496,0.66077,0.65499,0.70544,0.48159,1.18949,1.08441,0.00617,0.000243696,0.000243696,0.000243696
71,76.572,1.24363,1.41072,0.00498,0.68447,0.64259,0.70509,0.4816,1.21534,1.06846,0.00619,0.000236083,0.000236083,0.000236083
72,77.6803,1.23689,1.38671,0.00478,0.65854,0.67721,0.70437,0.4733,1.23088,1.08374,0.00616,0.00022847,0.00022847,0.00022847
73,78.8526,1.2688,1.42901,0.00464,0.64718,0.71887,0.70761,0.48115,1.20526,1.09951,0.00616,0.000220857,0.000220857,0.000220857
74,79.9321,1.22177,1.34228,0.00485,0.66996,0.68663,0.70969,0.48458,1.20363,1.08182,0.00618,0.000213244,0.000213244,0.000213244
75,81.0111,1.18947,1.39357,0.00498,0.69601,0.6699,0.71404,0.48814,1.20054,1.07402,0.00621,0.000205631,0.000205631,0.000205631
76,82.0823,1.24408,1.39667,0.00502,0.71063,0.65603,0.7169,0.48973,1.20216,1.0549,0.00619,0.000198018,0.000198018,0.000198018
77,83.1645,1.21115,1.35362,0.00506,0.68851,0.66544,0.71888,0.48559,1.2191,1.04725,0.00617,0.000190404,0.000190404,0.000190404
78,84.224,1.17243,1.28386,0.0045,0.68359,0.66001,0.71736,0.48087,1.24017,1.04265,0.00634,0.000182791,0.000182791,0.000182791
79,85.3616,1.19416,1.33287,0.00483,0.69049,0.65298,0.71903,0.48077,1.22003,1.04507,0.00633,0.000175178,0.000175178,0.000175178
80,86.4464,1.21305,1.29626,0.00464,0.71348,0.65496,0.72106,0.48423,1.22174,1.04208,0.0063,0.000167565,0.000167565,0.000167565
